arquivo;curso_codigo;curriculo_ordinal;curriculo_disciplina;curriculo_ch_horas;numero_ue;topico;ue_ch_horas;destino_disciplina_codigo;fundamento_normativo;fundamento_origem;observacao;motivo_da_exclusao
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;5;POSICIONAMENTO TOPOGRÁFICO;52;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IV;TOPOGRAFIA;148;6;LEVANTAMENTO TOPOGRÁFICO;40;6 - CAHO - IV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;1;FUNDAMENTOS E OBSERVAÇÃO DO TEMPO;14;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;2;PRESSÃO ATMOSFÉRICA E VENTOS;14;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;3;VENTOS E A CIRCULAÇÃO GERAL DA ATMOSFERA;12;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;4;PREVISÃO DO TEMPO: SISTEMAS ATMOSFÉRICOS;12;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;5;PREVISÃO DO TEMPO: TÉCNICAS DE PREVISÃO;14;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;6;METEOROLOGIA APLICADA NA MB;12;7 - CAHO - V;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;1;INTRODUÇÃO À GEODÉSIA;10;8 - CAHO - VI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;2;GEODÉSIA GEOMÉTRICA;13;8 - CAHO - VI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;3;GEODÉSIA FÍSICA;8;8 - CAHO - VI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;4;SISTEMAS GEODÉSICOS DE REFERÊNCIA;9;8 - CAHO - VI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;5;CÁLCULOS GEODÉSICOS;17;8 - CAHO - VI;Of no 10-6/2025;oficio;;
