arquivo;curso_sigla;disciplina_ordinal;disciplina_nome;disciplina_ch_horas;numero_ue;topico;ue_ch_horas;qtd_subunidades;subunidades
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;1;NOÇÕES DE ACÚSTICA;7;4;"Caracterização de ondas sonoras | Ondas planas e esféricas | Reflexão e refração de ondas; e | Equação da onda"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;2;FUNDAMENTOS DE ACÚSTICA SUBMARINA;13;6;"Propagação do som no mar e gradientes | Reflexão, refração, Traçado de Raios (Ray Tracing) e Impedância Acústica | Padrões de propagação do som no mar | Transmissão do som no mar | Atenuação do som no mar: absorção e espalhamento; e | Ruídos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;3;INTRODUÇÃO AO PROCESSAMENTO DE SINAIS ACÚSTICOS;8;7;"Sinais de tempo contínuo e de tempo discreto | Etapas do processamento de sinais | Introdução às técnicas de manipulação de sinais acústicos; e | Transdutores: | Princípios piezoelétricos | Conjuntos (arrays) de transdutores; e | Fator de qualidade do transdutor"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;4;A EQUAÇÃO SONAR;4;3;"Sistema sonar | Parâmetros da equação sonar; e | Previsão do alcance sonar"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;5;SISTEMAS ACÚSTICOS;15;7;"Acoustic Doppler Current Profiler (ADCP) | Sistemas acústicos monofeixe | Sonar de varredura lateral | Sonar Interferométrico | Sonar de abertura Sintética (SAS) | Sistemas acústicos multifeixe; e | Backscatter"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;1;AEROFOTOGRAMETRIA;4;2;"Conceitos introdutórios; e | Aerofotogrametria nos LH"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;2;CONCEITOS BÁSICOS PARA TRABALHO COM FOTOGRAFIAS;7;2;"Estereoscopia e visão estereoscópica; e | Paralaxe estereoscópica"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;3;OPERAÇÕES AEROFOTOGRAMÉTRICAS NOS LH;5;4;"Execução do apoio aerofotogramétrico | Produtos fotogramétricos mais comuns | Notícias sobre fotointerpretação; e | Notícias sobre triangulação radial"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;4;SENSORIAMENTO REMOTO;17;7;"Conceitos físicos do sensoriamento remoto | Definição dos sistemas sensores | Níveis de aquisição em sensoriamento remoto | Sistemas imageadores orbitais | Sensores remotos óticos de média e alta resolução espacial | Sensores remotos de micro-ondas; e | Sistemas LiDAR aerotransportados e terrestres"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;5;APLICATIVOS DO SENSORIAMENTO REMOTO;11;4;"Atualizações cartográficas e delimitação de linha de costa | Apoio às operações navais | Mapeamento da superfície d’água; e | Propriedade da coluna d’água"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;6;TÉCNICAS NÃO ACÚSTICAS DE BATIMETRIA;16;2;"Sistema LiDAR batimétrico; e | Batimetria por resposta espectral"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;1;A CARTOGRAFIA NÁUTICA BRASILEIRA;8;5;"Cartografia náutica e histórico na DHN | Aspectos legais | Planos Cartográficos Náuticos Brasileiros | Planejamento Cartográfico; e | Cartas Especiais e produtos em apoio ao setor operativo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;2;NORMAS DA ORGANIZAÇÃO HIDROGRÁFICA INTERNACIONAL;6;3;"Comitês e normas técnicas da OHI | Estrutura de dados para informações geoespaciais marinhas; e | Universal Hydrographic Data Model - S-100"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;3;BANCOS DE DADOS E INFRAESTRUTURAS DE DADOS ESPACIAIS MARINHOS (IDE);8;3;"Conceitos sobre bancos de dados | Infraestruturas de Dados Espaciais (IDE); e | Bancos de Dados Espaciais Marinhos (MSDI) e Bancos de Dados Marinhos de"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;4;PROCESSO DA CARTOGRAFIA NÁUTICA BASEADO EM BANCOS DE DADOS ESPACIAIS;13;3;"Bancos de dados batimétricos e de feições no fundo | Banco de dados para a produção cartográfica; e | Produtos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;1;LEVANTAMENTO HIDROGRÁFICO (LH);8;11;"Definição de LH, sua finalidade e importância | Especificações da OHI para LH (contorno, posicionamento, batimetria, auxílio à | Reconhecimento da área de Levantamento e seus fatores ambientais | Planejamento de LH | Estabelecimento de recursos e equipamentos para aquisição de dados | Análise de qualidade de Dados Hidrográficos | Elaboração do Relatório Parcial e Final do Levantamento | Levantamentos em apoio à Autoridade Portuária | Levantamento para monitoramento da poluição marinha | Responsabilidade civil do hidrógrafo; e | Impactos ambientais do LH"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;2;SISTEMA DE BATIMETRIA;4;7;"Princípios dos sensores acústicos | Sistema de posicionamento em sondagem | Equipamentos de apoio à sondagem | Sistemas acústicos monofeixe | Sistemas acústicos multifeixe | Sistemas de varredura; e | Sistemas não acústicos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;3;DETERMINAÇÃO DA PROFUNDIDADE;8;8;"Transdutores e suas características | Relação frequência e atenuação | Fatores oceanográficos na determinação da profundidade | Fatores geológicos na determinação da profundidade | Determinação da velocidade de propagação do som na água | Propagação de erros na sondagem | Métodos de posicionamento GNSS; e | Métodos de posicionamento de submarino"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;4;SONDAGEM MONOFEIXE;10;13;"Caracterização de um sistema monofeixe | Princípios do sistema monofeixe | Transdutor e Footprint | Especificações de um sistema monofeixe | Detecção do fundo | Componentes de um sistema monofeixe | Calibração | Interpretação do sinal monofeixe | Método RoxAnn | Processamento de dados monofeixe | Fontes de erros em sondagem monofeixe | Controle de qualidade; e | Limitações"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;5;SONDAGEM MULTIFEIXE;46;29;"Produtos gerados por um sistema multifeixe | Transdutor, princípios e geometria da sondagem multifeixe | Princípio da formação de feixe mills-cross | Array Shading e os lóbulos laterais | Beamforming e beamsteering | Características dos feixes e da varredura na cobertura do fundo marinho | Detecção em fase e amplitude | Refração | Velocidade do som na coluna d’água | Ray tracing | Velocidade do som na superfície | Equipamentos e sistemas de medição de movimento | Movimentos da embarcação e estabilização do feixe | Identificação de erros de medição de profundidade e falhas de compensação de | Incertezas do posicionamento e impacto na qualidade da medição da profundi | O transdutor e parâmetros que definem a resolução espacial | A modulação do pulso e resolução em distância | Modulação do pulso | Matched filter | Resolução topográfica | Equação Sonar | Alcance sonar e envelope de performance | Incertezas na detecção do fundo | Backscatter | Georreferenciamento dos dados multifeixe | Tipos de montagem e instalação de transdutores e plataformas | Calibração do multifeixe | Acompanhamento da sondagem multifeixe; e | Pré-processamento e controle de qualidade"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;6;INSTALAÇÕES DE SENSORES HIDROGRÁFICOS;24;7;"Fatores importantes em instalação hidrográfica | Sistema de coordenadas da embarcação e alinhamento | Pontos e plano de referência em uma instalação hidrográfica | Determinação das coordenadas de instalação e alinhamento de sensores (offsets) | Rotação e translação de coordenadas entre sensores da embarcação hidrográfica | Propagação das incertezas de offsets; e | Prática de medição de offsets em navio e relatório"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;7;COMUNICAÇÕES, ELETRÔNICA E INFORMÁTICA;12;8;"Corrente/Tensão contínua e alternada | Fontes de alimentação elétrica e inversores | Ferramentas e equipamentos de medição | Comunicação Serial (RS232, RS422 e RS485) | Conversores | Comunicação Ethernet | Protocolos TCP e UDP; e | Prática de comunicação serial e ethernet"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;8;VARREDURA;8;9;"Princípios da varredura mecânica | Princípios da varredura eletrônica | Procedimentos para aquisição com Sidescan Sonar | Princípios do sonar interferométrico | Relação sinal x ruído no sonar interferométrico | Estratigrafia da coluna d’água na varredura | Detecção de feições submersas | Incertezas no reboque do sensor e cálculo do layback; e | Precauções de segurança para varredura"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;9;OUTROS SISTEMAS DE LEVANTAMENTO;4;2;"Plataformas autônomas de levantamento; e | Perfilador de subfundo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;10;CARACTERIZAÇÃO ACÚSTICA DO FUNDO;3;9;"Morfologia do fundo | Ângulo de incidência | Características do sonar empregado | Compensação do backscatter | Processamento do backscatter | Envelope do monofeixe | Planejamento de amostragem de fundo | Montagem de mosaicos; e | Padrões e métodos de classificação de fundo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;11;PLANEJAMENTO DE LINHAS DE SONDAGEM E PRÁTICA EM SIMULADOR;8;4;"Planejamento monofeixe | Planejamento multifeixe | Line keeping; e | Prática de line keeping em simulador"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;12;PLANEJAMENTO DE LH;14;12;"Estudo do cenário | Seleção da plataforma | Sistema de aquisição automática de dados | Planejamento, execução e monitoramento de uma sondagem | Calibração inicial | Aquisição dados durante da sondagem | Pesquisa de perigo | Pré-processamento e controle de qualidade | Monitoramento da maré e pré-processamento | Redução da maré (maregrafia e modelagem da ondulação geoidal) | Armazenamento e transferência de dados hidrográficos; e | Precauções de segurança para a sondagem"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;13;INSTRUÇÕES TÉCNICAS DA DHN;4;8;"Tipos de documentos produzidos em LH | Normas para elaboração de relatórios de LH | Normas e especificações para LH em rios | Representação dos dados em uma Folha de Sondagem (FS) | Representação dos dados em uma Folha de Bordo (FB) | Representação dos dados em uma Folha de Varredura (FV) | Representação dos dados em uma Folha Topográfica (FT); e | Representação das pesquisas de perigo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;14;HIDROGRAFIA MILITAR;6;7;"Plano de Desenvolvimento do Programa Oceano (PLADEPO) | Previsão Meteorológica Especial | Cartas especiais para planejamento de operações de submarinos | Produtos especiais para apoio às operações de minagem e contramedidas de mina | Cartas especiais para planejamento de operações anfíbias | Cartas especiais para planejamento de operações ribeirinhas; e | Cartas temáticas de fatores físicos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;15;HIDROGRAFIA APLICADA;40;11;"Elementos a serem obtidos durante os LH | Operações de coleta de dados em LH | Elementos necessários para a elaboração das instruções especiais | Análise das instruções especiais | Representação cartográfica da área levantada | Documentos cartográficos necessários ao planejamento e execução | Instalação dos equipamentos de posicionamento, sondagem e varredura | Prática de sondagem monofeixe, multifeixe e varredura lateral | Planejamento do reconhecimento e elaboração da Instrução Especial | Reconhecimento da área do LH; e | Confecção do relatório do reconhecimento"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;16;PROCESSAMENTO DE DADOS BATIMÉTRICOS;40;11;"Aplicativos de processamento | Técnicas de limpeza de dados | Filtragem manual e automática de dados | Parametrização dos dados no pós-processamento | Cálculo da incerteza vertical e da incerteza horizontal | Identificação dos erros grosseiros e sistemáticos | Comparação de dados sobrepostos | Propagação das incertezas a priori e a posteriori | Controle de qualidade e a ordem de levantamento | Geração de produtos; e | Relatório de aquisição de dados"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVII;TEORIA DOS ERROS;60;1;FUNDAMENTOS DA TEORIA DOS ERROS;11;4;"Erros em medições | Distribuição de Gauss e distribuição normal unidimensional | Precisão e exatidão; e | Critérios para Avaliação de Dados Anormais (outliers)"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVII;TEORIA DOS ERROS;60;2;PROPAGAÇÃO DE ERROS;19;6;"Propagação de erros acidentais | Propagação de erros sistemáticos | Distribuição normal circular | Propagação de erros em operações topográficas | Propagação de erros em operações hidrográficas; e | Precisão de sondagens batimétricas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVII;TEORIA DOS ERROS;60;3;QUANTIFICAÇÃO DA INCERTEZA POSICIONAL;7;2;"Elipse dos erros; e | Elipse de confiança e outras formas de expressar a incerteza posicional"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVII;TEORIA DOS ERROS;60;4;AJUSTAMENTO TOPO-GEODÉSICO;23;5;"Método dos Mínimos Quadrados | Ajustamento de observações diretas | Ajustamento de observações indiretas | Ajustamento de observações condicionadas; e | Método Combinado de Ajustamento"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVIII;LEVANTAMENTO HIDROCEANOGRÁFICO DE FIM DE CURSO;200;1;LEVANTAMENTO HIDROCEANOGRÁFICO DE FIM DE CURSO (LHFC);200;8;"Planejamento do LH | Elaboração do cronograma dos serviços a serem executados | Elaboração da Instrução Especial do LH | Trabalhos de geodésia, topografia, oceanografia, marés, aerofotogrametria e | Processamento convencional e automático | Interpretação e análise dos dados coletados e processados | Produção dos documentos do LH; e | Elaboração e entrega do Relatório Final da Comissão Hidrográfica"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIX;TREINAMENTO FÍSICO MILITAR;70;1;CORRIDA;35;5;"Método contínuo | Método intervalado | Métodos fracionados | Métodos em circuito; e | Métodos adaptativos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIX;TREINAMENTO FÍSICO MILITAR;70;2;NATAÇÃO E PERMANÊNCIA DENTRO D’ÁGUA;35;3;"Adaptação ao meio líquido | Flutuabilidade; e | Resistência"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XX;METODOLOGIA DA PESQUISA;119;1;TÉCNICAS PARA ELABORAÇÃO DE MONOGRAFIAS;2;6;"A importância do conhecimento | Distinção entre pesquisa e ciência | O método científico | Ferramentas e instrumentos de pesquisa: internet | Projeto de pesquisa; e | Desenvolvimento de pesquisa e elaboração de monografias"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XX;METODOLOGIA DA PESQUISA;119;2;NORMATIZAÇÃO DO TRABALHO CIENTÍFICO;2;3;"Plágio | Formatação do TCC; e | Normatização segundo as normas da Associação Brasileira de Normas Técnicas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XX;METODOLOGIA DA PESQUISA;119;3;ESTRUTURA DO TRABALHO INDIVIDUAL;4;2;Apresentação básica das partes que compõem uma monografia: introdução, | Apresentação e montagem do projeto de pesquisa (exemplos)
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XX;METODOLOGIA DA PESQUISA;119;4;PESQUISA, DESENVOLVIMENTO E ORIENTAÇÃO;111;2;"Orientações para elaboração do TCC; e | Pesquisa e desenvolvimento do TCC"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;MATFIS;NIVELAMENTO DE MATEMÁTICA E FÍSICA;56;1;EMPREGO DOS CONCEITOS DE MATEMÁTICA NA RESOLUÇÃO DE PROBLEMAS PRÁTICOS;28;7;Análise Vetores: espaços vetoriais e afins, cálculo de vetores, produtos internos e | Matrizes: decomposição matricial, fatoração, número de condição de uma matriz | Sistemas lineares: sistemas de equações lineares e eliminação de Gauss | Operadores lineares: representação matricial, composição, transformações, | Cálculo de diferencial e integral: funções reais e vetoriais, série, expansões de | Equações diferenciais: solução geral, ordinárias lineares e equação não linear, | Geometria: seções cônicas, geometria da elipse e do elipsóide, equações para
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;MATFIS;NIVELAMENTO DE MATEMÁTICA E FÍSICA;56;2;EMPREGO DOS CONHECIMENTOS DE FÍSICA NA RESOLUÇÃO DE PROBLEMAS PRÁTICOS;28;7;Cinemática e dinâmica: velocidade linear e angular, aceleração, momento angular, | Leis de Newton, gravitação, campo gravitacional e centro de gravidade | Hidrodinâmica e hidrostática: equação da continuidade, Equação de Bernoulli, | Magnetismo: campo magnético, fontes de campo magnético, indução | Ondas: fundamentos de vibrações, propriedades das ondas, tipos de ondas, | Transdutores: transdutores de pressão, transdutores térmicos e requisitos de | Lasers: parâmetros (frequência e comprimento de onda), tipos de laser e
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;I;SISTEMAS FLUTUANTES DE POLIETILENO;34;1;ORIENTAÇÕES E DOCUMENTOS DA IALA;4;4;"Navigation Guide (NAVGUIDE) | Recomendações | Diretrizes; e | Manuais"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;I;SISTEMAS FLUTUANTES DE POLIETILENO;34;2;BOIAS DE POLIETILENO;20;6;"Aspectos de saúde e segurança na manutenção | Preparação de superfícies | Reparo de superfícies | Padrões e controles | Tipos de boias de polietileno; e | Padrões internacionais e locais de boias de polietileno"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;I;SISTEMAS FLUTUANTES DE POLIETILENO;34;3;ATIVIDADE PRÁTICA DE PINTURA E REPARO;10;2;"Pintura em boias de polietileno; e | Reparo em boias de polietileno"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;II;INGLÊS TÉCNICO APLICADO AOS AUXÍLIOS À NAVEGAÇÃO;28;1;ESTRATÉGIAS DE LEITURA;28;4;"Leitura e interpretação de textos | Vocabulário técnico | Falsos cognatos; e | Leitura e compreensão de manuais e instruções técnicas"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;III;PROJETO DE CONCLUSÃO DE CURSO;80;1;APRESENTAÇÃO DOS TEMAS;10;3;"Considerações básicas | Etapas do trabalho de final de curso; e | Elaboração do trabalho de final de curso"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;III;PROJETO DE CONCLUSÃO DE CURSO;80;2;ORIENTAÇÃO DE FORMATAÇÃO, ESTRUTURAÇÃO E COMPOSIÇÃO DO TRABALHO DE FINAL DE CURSO;70;3;"Apresentação básica das partes que compõem o trabalho: introdução, desen | Orientações para elaboração do trabalho; e | Pesquisa e desenvolvimento do trabalho"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;IV;RADAR BEACON (RACON) E AIS AtoN;30;1;RADAR BEACON;10;4;"Introdução à tecnologia RACON | Manuseio e trabalho em altura | Inspeção; e | Estoque e descarte"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;IV;RADAR BEACON (RACON) E AIS AtoN;30;2;AIS AtoN;10;4;"Propósitos e princípios do Sistema de Identificação Automático (AIS) | Estação base AIS AtoN e repetidoras | Funcionamento do AIS AtoN; e | Identidade do Serviço Móvel Marítimo (MMSI) e gerenciamento"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;IV;RADAR BEACON (RACON) E AIS AtoN;30;3;ATIVIDADE PRÁTICA;10;2;"Instalação e configuração; e | Manutenção e teste"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;V;RADIONAVEGAÇÃO, DGNSS, CONTROLE E MONITORAMENTO REMOTO;24;1;INTRODUÇÃO À RADIONAVEGAÇÃO E DGNSS;24;9;"Introdução aos sistemas de radionavegação | Posição, navegação e tempo | Acurácia, integridade, continuidade, disponibilidade e vulnerabilidade | Aplicações do GNSS em auxílios a navegação | Introdução ao DGNSS e princípios de operação | Estações transmissoras DGNSS | Operação e manutenção DGNSS | Monitoramento da acurácia e intensidade do sinal; e | Introdução ao monitoramento"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VI;MANUTENÇÃO DE SISTEMAS GERADORES DE CORRENTE ALTERNADA;24;1;SISTEMAS DE ALIMENTAÇÃO DE CA;6;2;"Introdução aos sistemas de alimentação de CA; e | Testes em geradores de CA"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VI;MANUTENÇÃO DE SISTEMAS GERADORES DE CORRENTE ALTERNADA;24;2;GERADORES FOTOVOLTAICOS E EÓLICOS;8;3;"Introdução aos geradores fotovoltaicos e eólicos | Instalação; e | Manutenção preventiva de primeiro escalão"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VI;MANUTENÇÃO DE SISTEMAS GERADORES DE CORRENTE ALTERNADA;24;3;SISTEMAS GERADORES A DIESEL E GASOLINA;10;3;"Introdução aos sistemas geradores a diesel e gasolina | Funcionamento dos sistemas geradores a diesel e gasolina; e | Manutenção preventiva de primeiro escalão"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VII;FUNDAMENTOS BÁSICOS PARA A ANÁLISE DE PROJETOS DE AUXÍLIOS À NAVE;40;1;A IMPORTÂNCIA DOS AUXÍLIOS À NAVEGAÇÃO MARÍTIMOS (AtoN);7;6;"Fases da navegação e precisão do posicionamento | A influência da imprecisão do posicionamento eletrônico | Definições de Auxílios à Navegação Marítimos (AtoN) | Principais definições e conceitos previstos na NORMAM-17/DHN | Sistema de Balizamento da IALA e outros auxílios à navegação; e | Outros sinais náuticos previstos na NORMAM-17/DHN"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VII;FUNDAMENTOS BÁSICOS PARA A ANÁLISE DE PROJETOS DE AUXÍLIOS À NAVE;40;2;A NECESSIDADE DE AtoN;7;6;"A provisão dos serviços de auxílio à navegação e as obrigações internacionais | Princípios básicos sobre o planejamento e gerenciamento de AtoN | Níveis de Serviço e disponibilidade dos AtoN | O Índice de Eficácia (IE) de um balizamento ou auxílio à navegação previsto na | Monitoramento da performance dos auxílios à navegação; e | Monitoramento remoto dos auxílios à navegação"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VII;FUNDAMENTOS BÁSICOS PARA A ANÁLISE DE PROJETOS DE AUXÍLIOS À NAVE;40;3;CONSIDERAÇÕES GERAIS DOS AUXÍLIOS À NAVEGAÇÃO;6;4;"Principais conceitos relacionados aos auxílios à navegação fixos | Principais conceitos relacionados aos auxílios à navegação flutuantes | Relação Visibilidade Meteorológica x Transparência Atmosférica x Alcances; e | Gerenciamento de risco na gestão dos auxílios à navegação"
2._of-10-26-2022-densm-ciaara-an-c-apa-aux-nav-sp_0_0.pdf;C-ApA-AuxNav-PR-SP;VII;FUNDAMENTOS BÁSICOS PARA A ANÁLISE DE PROJETOS DE AUXÍLIOS À NAVE;40;4;NOÇÕES DE ANÁLISE DE PROJETOS DE AUXÍLIOS À NAVEGAÇÃO;20;3;"Projetos de auxílios à navegação | Análise de projetos de auxílios à navegação; e | Atividades práticas e estudos de casos"
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-I-EAD;INGLÊS TÉCNICO APLICADO À PRODUÇÃO CARTOGRÁFICA;30;1;ESTRATÉGIAS DE LEITURA;30;5;"Leitura e interpretação de textos | Vocabulário técnico | Falsos cognatos | Leitura e compreensão de manuais e instruções técnicas; e | Revisão dos tempos verbais (simple present, present continuous, future, simple past"
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-II-EAD;INTRODUÇÃO À SEGURANÇA DA NAVEGAÇÃO;40;1;NAVEGAÇÃO SOLAS;10;4;Histórico da Convenção Internacional para Salvaguarda da Vida Humana no Mar (SOLAS) | Capítulo V do SOLAS (Segurança da Navegação) | Organização Marítima Internacional (OMI) e Organização Hidrográfica Internacional | NORMAM-28. Normas da Autoridade Marítima para Navegação e Cartas Náuticas
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-II-EAD;INTRODUÇÃO À SEGURANÇA DA NAVEGAÇÃO;40;2;DIRETORIA DE HIDROGRAFIA E NAVEGAÇÃO (DHN);10;4;"Histórico da DHN | Regulamento | Regimento Interno; e | Estrutura Organizacional"
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-II-EAD;INTRODUÇÃO À SEGURANÇA DA NAVEGAÇÃO;40;3;CHM;10;4;"Histórico do CHM | Regulamento | Regimento Interno; e | Estrutura Organizacional"
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-II-EAD;INTRODUÇÃO À SEGURANÇA DA NAVEGAÇÃO;40;4;NOÇÕES DE CARTOGRAFIA;10;5;"Histórico | Forma da Terra e escala | Sistemas de referência | Projeções Cartográficas; e | A Carta Náutica"
2._of-10-31-densm-ciaara-an-capa-pcn-pr-ead_2.pdf;C-ApA-PCN-PR-EAD;PCN-PR-III-EAD;CARTOGRAFIA NÁUTICA BRASILEIRA;40;1;HISTÓRICO;10;3;"Cartografia Náutica na história | Cartografia Náutica no Brasil; e | Leis e Normas relacionadas à Cartografia Náutica Brasileira"
